kernel,proc,prbs,cc,mod_scheme
mf,ARM_CORTEX_A7,1,8812.5,NA
mf,ARM_CORTEX_A7,2,4125.0,NA
mf,ARM_CORTEX_A7,3,6093.0,NA
mf,ARM_CORTEX_A7,4,10188.0,NA
mf,ARM_CORTEX_A7,5,13030.5,NA
mf,ARM_CORTEX_A7,6,20562.0,NA
mf,ARM_CORTEX_A7,7,6250.5,NA
mf,ARM_CORTEX_A7,8,6688.5,NA
mf,ARM_CORTEX_A7,9,7125.0,NA
mf,ARM_CORTEX_A7,10,7656.0,NA
mf,ARM_CORTEX_A7,11,8062.5,NA
mf,ARM_CORTEX_A7,12,8467.5,NA
mf,ARM_CORTEX_A7,13,8938.5,NA
mf,ARM_CORTEX_A7,14,9375.0,NA
mf,ARM_CORTEX_A7,15,9750.0,NA
mf,ARM_CORTEX_A7,16,10125.0,NA
mf,ARM_CORTEX_A7,17,10500.0,NA
mf,ARM_CORTEX_A7,18,10938.0,NA
mf,ARM_CORTEX_A7,19,11376.0,NA
mf,ARM_CORTEX_A7,20,11812.5,NA
mf,ARM_CORTEX_A7,21,12249.0,NA
mf,ARM_CORTEX_A7,22,12813.0,NA
mf,ARM_CORTEX_A7,23,13249.5,NA
mf,ARM_CORTEX_A7,24,13626.0,NA
mf,ARM_CORTEX_A7,25,14062.499999999998,NA
mf,ARM_CORTEX_A7,26,14563.5,NA
mf,ARM_CORTEX_A7,27,15000.000000000002,NA
mf,ARM_CORTEX_A7,28,15375.0,NA
mf,ARM_CORTEX_A7,29,15813.0,NA
mf,ARM_CORTEX_A7,30,16251.0,NA
mf,ARM_CORTEX_A7,31,16687.5,NA
mf,ARM_CORTEX_A7,32,17062.5,NA
mf,ARM_CORTEX_A7,33,17500.5,NA
mf,ARM_CORTEX_A7,34,17938.5,NA
mf,ARM_CORTEX_A7,35,18375.0,NA
mf,ARM_CORTEX_A7,36,18811.5,NA
mf,ARM_CORTEX_A7,37,19188.0,NA
mf,ARM_CORTEX_A7,38,19687.5,NA
mf,ARM_CORTEX_A7,39,20124.0,NA
mf,ARM_CORTEX_A7,40,20562.0,NA
mf,ARM_CORTEX_A7,41,21000.0,NA
mf,ARM_CORTEX_A7,42,21436.5,NA
mf,ARM_CORTEX_A7,43,21937.5,NA
mf,ARM_CORTEX_A7,44,22374.0,NA
mf,ARM_CORTEX_A7,45,22812.0,NA
mf,ARM_CORTEX_A7,46,23250.0,NA
mf,ARM_CORTEX_A7,47,23749.5,NA
mf,ARM_CORTEX_A7,48,24187.5,NA
mf,ARM_CORTEX_A7,49,24592.500000000004,NA
mf,ARM_CORTEX_A7,50,25000.500000000004,NA
mf,ARM_CORTEX_A7,51,25875.0,NA
mf,ARM_CORTEX_A7,52,26313.0,NA
mf,ARM_CORTEX_A7,53,26812.5,NA
mf,ARM_CORTEX_A7,54,27312.0,NA
mf,ARM_CORTEX_A7,55,27562.5,NA
mf,ARM_CORTEX_A7,56,28124.999999999996,NA
mf,ARM_CORTEX_A7,57,28563.000000000004,NA
mf,ARM_CORTEX_A7,58,29125.5,NA
mf,ARM_CORTEX_A7,59,29313.0,NA
mf,ARM_CORTEX_A7,60,29688.0,NA
mf,ARM_CORTEX_A7,61,30217.5,NA
